# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
940             	7.48576543e-05	1.39162833e-05	3.08005233e-04	2.28860271e-04	7.91449620e-05
950             	7.48579583e-05	1.39162106e-05	3.08004750e-04	2.28860333e-04	7.91444169e-05
960             	7.48582897e-05	1.39159065e-05	3.08004416e-04	2.28860498e-04	7.91439182e-05
970             	7.48586188e-05	1.39155732e-05	3.08004163e-04	2.28860700e-04	7.91434627e-05
980             	7.48589381e-05	1.39152275e-05	3.08003984e-04	2.28860930e-04	7.91430541e-05
990             	7.48592416e-05	1.39147607e-05	3.08003740e-04	2.28861111e-04	7.91426282e-05
1000            	7.48595326e-05	1.39142571e-05	3.08003474e-04	2.28861270e-04	7.91422046e-05
1010            	7.48597997e-05	1.39138023e-05	3.08003182e-04	2.28861390e-04	7.91417911e-05
1020            	7.48600232e-05	1.39134936e-05	3.08003031e-04	2.28861539e-04	7.91414924e-05
1030            	7.48602174e-05	1.39133396e-05	3.08002953e-04	2.28861694e-04	7.91412592e-05
1040            	7.48603787e-05	1.39131781e-05	3.08002828e-04	2.28861793e-04	7.91410352e-05
1050            	7.48605199e-05	1.39128979e-05	3.08002641e-04	2.28861840e-04	7.91408005e-05
1060            	7.48606574e-05	1.39126287e-05	3.08002413e-04	2.28861864e-04	7.91405492e-05
1070            	7.48607887e-05	1.39124968e-05	3.08002256e-04	2.28861916e-04	7.91403391e-05
1080            	7.48609018e-05	1.39124623e-05	3.08002263e-04	2.28862033e-04	7.91402295e-05
1090            	7.48607051e-05	1.39125545e-05	3.08001905e-04	2.28861658e-04	7.91402475e-05
1100            	7.48606357e-05	1.39131766e-05	3.08001695e-04	2.28861483e-04	7.91402120e-05
1110            	7.48605582e-05	1.39137904e-05	3.08001367e-04	2.28861242e-04	7.91401253e-05
